SSID,BSSID,MANUFACTURER,SIGNAL,High Signal,RSSI,High RSSI,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,BTX,OTX,NETWORK TYPE,LABEL,LATITUDE,LONGITUDE,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC)
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:45.952
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:47.255
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:48.271
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:49.890
"KT_GiGA_5G_Wave2_61CF",00:07:89:D2:61:D3,"Allradio Co., Ltd",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,44,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:51.362
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:40.544
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:42.120
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:43.154
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:44.940
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:45.952
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:47.255
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:48.271
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:49.890
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:51.362
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:53.191
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:28:54.820
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:13.200
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:14.622
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:17.070
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:18.531
"",BA:3C:1C:3B:F8:E4,"Unknown",40,40,-79,-79,WPA2-Personal,CCMP,802.11ac,36,"6,9,12,18,24,36,48,54","",Infrastructure,"Unknown",0.0000000,0.0000000,00,0,0,0,0,0,0,2023-05-16,05:29:20.529
